The Intouchables,"Biography, Comedy, Drama","After he becomes a quadriplegic from a paragliding accident","Olivier Nakache","François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",2011,0,8.6,557965,10,11.0
Warrior,"Action, Drama, Sport","The youngest son of an alcoholic former boxer returns home","Gavin O'Connor","Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison",2011,0,8.2,355722,10,11.0
Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy","Harry","David Yates","Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",2011,0,8.1,590595,10,11.0
The Help,"Drama","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work","Tate Taylor","Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard",2011,0,8.1,342429,10,11.0
X: First Class,"Action, Adventure, Sci-Fi","In 1962","Matthew Vaughn","James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon",2011,0,7.8,550011,10,11.0
Drive,"Crime, Drama","A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.","Nicolas Winding Refn","Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",2011,0,7.8,461509,10,11.0
The Girl with the Dragon Tattoo,"Crime, Drama, Mystery","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander","David Fincher","Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård",2011,0,7.8,348551,10,11.0
Midnight in Paris,"Comedy, Fantasy, Romance","While on a trip to Paris with his fiancée's family","Woody Allen","Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller",2011,0,7.7,320323,10,11.0
50/50,"Comedy, Drama, Romance","Inspired by a true story","Jonathan Levine","Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard",2011,0,7.7,281625,10,11.0
Rise of the Planet of the Apes,"Action, Drama, Sci-Fi","A substance","Rupert Wyatt","James Franco, Andy Serkis, Freida Pinto, Karin Konoval",2011,0,7.6,422290,10,11.0
Moneyball,"Biography, Drama, Sport","Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.","Bennett Miller","Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman",2011,0,7.6,297395,10,11.0
The Skin I Live In,"Drama, Thriller","A brilliant plastic surgeon","Pedro Almodóvar","Antonio Banderas, Elena Anaya, Jan Cornet, Marisa Paredes",2011,0,7.6,108772,10,11.0
Source Code,"Mystery, Romance, Sci-Fi","A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train. A mission he has only 8 minutes to complete.","Duncan Jones","Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright",2011,0,7.5,404884,10,11.0
Sherlock Holmes: A Game of Shadows,"Action, Adventure, Crime","Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary","Guy Ritchie","Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams",2011,0,7.5,357436,10,11.0
Hugo,"Adventure, Drama, Family","In Paris in 1931","Martin Scorsese","Asa Butterfield, Chloë Grace Moretz, Christopher Lee, Ben Kingsley",2011,0,7.5,259182,10,11.0
We Need to Talk About Kevin,"Drama, Mystery, Thriller","Kevin's mother struggles to love her strange child","Lynne Ramsay","Tilda Swinton, John C. Reilly, Ezra Miller, Jasper Newell",2011,0,7.5,104953,10,11.0
Limitless,"Mystery, Sci-Fi, Thriller","With the help of a mysterious pill that enables the user to access 100 percent of his brain abilities","Neil Burger","Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro",2011,0,7.4,444417,10,11.0
"Crazy, Stupid, Love.","Comedy, Drama, Romance","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend","Glenn Ficarra","Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone",2011,0,7.4,396714,10,11.0
Mission: Impossible - Ghost Protocol,"Action, Adventure, Thriller","The IMF is shut down when it's implicated in the bombing of the Kremlin","Brad Bird","Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton",2011,0,7.4,382459,10,11.0
Jane Eyre,"Drama, Romance","A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.","Cary Joji Fukunaga","Mia Wasikowska, Michael Fassbender, Jamie Bell, Su Elliot",2011,0,7.4,67464,10,11.0
Fast Five,"Action, Crime, Thriller","Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.","Justin Lin","Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster",2011,0,7.3,300803,10,11.0
The Descendants,"Comedy, Drama","A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.","Alexander Payne","George Clooney, Shailene Woodley, Amara Miller, Nick Krause",2011,0,7.3,211348,10,11.0
Shame,"Drama","A man's carefully cultivated private life is disrupted when his sister arrives for an indefinite stay.","Steve McQueen","Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters",2011,0,7.2,155010,10,11.0
Super 8,"Mystery, Sci-Fi, Thriller","During the summer of 1979","J.J. Abrams","Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney",2011,0,7.1,298913,10,11.0
Real Steel,"Action, Drama, Family","In the near future","Shawn Levy","Hugh Jackman, Evangeline Lilly, Dakota Goyo, Anthony Mackie",2011,0,7.1,264480,10,11.0
The Adjustment Bureau,"Romance, Sci-Fi, Thriller","The affair between a politician and a contemporary dancer is affected by mysterious forces keeping the lovers apart.","George Nolfi","Matt Damon, Emily Blunt, Lisa Thoreson, Florence Kastriner",2011,0,7.1,208632,10,11.0
Tinker Tailor Soldier Spy,"Drama, Mystery, Thriller","In the bleak days of the Cold War","Tomas Alfredson","Gary Oldman, Colin Firth, Tom Hardy, Mark Strong",2011,0,7.1,157053,10,11.0
Melancholia,"Drama","Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.","Lars von Trier","Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland, Alexander Skarsgård",2011,0,7.1,137117,10,11.0
Thor,"Action, Adventure, Fantasy","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth)","Kenneth Branagh","Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston",2011,0,7.0,570814,10,11.0
Paul,"Adventure, Comedy, Sci-Fi","Two British comic-book geeks traveling across the U.S. encounter an alien outside Area 51.","Greg Mottola","Simon Pegg, Nick Frost, Seth Rogen, Mia Stallard",2011,0,7.0,201707,10,11.0
One Day,"Drama, Romance","After spending the night together on the night of their college graduation Dexter and Em are shown each year on the same date to see where they are in their lives. They are sometimes together","Lone Scherfig","Anne Hathaway, Jim Sturgess, Patricia Clarkson, Tom Mison",2011,0,7.0,113599,10,11.0
